alpha_1,alpha_2,alpha_3,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.5,0.3,0.2,0.0,0.979789557276157,0.06032531668938882,0.037649451119063856,0.41465968586387436,0.10175028178591444,16450.66666666672,0,1080,85536.0,102
0.15,0.4,0.45,0.0,1.0078618225134008,0.06032531668938882,0.03274289579072938,0.41545932213717557,0.10176189207660641,16922.000000000044,0,1117,88637.0,103
0.0,0.9,0.1,0.0,0.9957514393488193,0.06032531668938882,0.03320017822653943,0.420321267053238,0.1017797521407266,16718.66666666672,0,1116,89594.0,104
0.45,0.35,0.2,0.0,0.9716497915425848,0.06032531668938882,0.03877987602249489,0.4160226045042799,0.10181871283430571,16314.000000000042,0,1071,85102.0,105
0.0,0.55,0.45,0.0,1.017708953742306,0.06032531668938882,0.031825490655532834,0.41395634056035346,0.10182872893981051,17087.333333333365,0,1127,89107.0,106
0.2,0.55,0.25,0.0,0.9970617431010523,0.06032531668938882,0.03398835136900704,0.4178445982409134,0.10183405238984608,16740.66666666671,0,1106,88268.0,107
0.0,0.7,0.3,0.0,0.9873734365693868,0.06032531668938882,0.03558457949897751,0.4180426902939992,0.10184831470756253,16578.000000000047,0,1105,88230.0,108
0.35,0.55,0.1,0.0,0.982092515386143,0.06032531668938882,0.03477226411610997,0.42312745116979966,0.10184905012112011,16489.333333333383,0,1084,87606.0,109
0.15,0.5,0.35,0.0,0.9966646813579509,0.06032531668938882,0.0335978151272438,0.4194843568126446,0.10186101428733516,16734.00000000004,0,1111,89015.0,110
0.25,0.5,0.25,0.0,0.9708556680563835,0.06032531668938882,0.038856563139059316,0.41716114019778944,0.1019158663643159,16300.66666666672,0,1080,86052.0,111
0.3,0.5,0.2,0.0,0.9757792336708367,0.06032531668938882,0.03788803325948649,0.41766640351429496,0.10192201201281728,16383.333333333392,0,1081,86236.0,112
0.35,0.4,0.25,0.0,0.9980146912844948,0.06032531668938882,0.03544966697909566,0.4142290852868503,0.10195854318663848,16756.66666666671,0,1087,86001.0,113
0.05,0.8,0.15,0.0,0.971292435973794,0.06032531668938882,0.037280216854124075,0.42214678863893523,0.10196336571882045,16308.000000000044,0,1092,88048.0,114
0.1,0.55,0.35,0.0,0.9893587452848922,0.06032531668938882,0.036580091882526714,0.4152498810090433,0.10196695292990696,16611.333333333383,0,1100,87244.0,115
0.25,0.4,0.35,0.0,0.9997617629541393,0.06032531668938882,0.036237840121563294,0.41108257821362965,0.10196769800553893,16786.000000000044,0,1103,86604.0,116
0.3,0.6,0.1,0.0,0.9600952948183449,0.06032531668938882,0.038281409764826184,0.42498796832387814,0.10198798450275293,16120.000000000053,0,1077,87423.0,117
0.4,0.4,0.2,0.0,0.9814175104228708,0.06032531668938882,0.03716518617927744,0.4176992437463642,0.1019903557495632,16478.000000000044,0,1080,86163.0,118
0.1,0.5,0.4,0.0,0.9997220567798287,0.06032531668938882,0.03556753791751875,0.41377380681387055,0.10203374489563412,16785.33333333337,0,1104,87250.0,119
0.6,0.3,0.1,0.0,0.9577526305340485,0.06032531668938882,0.03943597690865714,0.42320383650842536,0.10203880825014211,16080.666666666715,0,1071,86571.0,120
0.0,0.8,0.2,0.0,1.0014294222751634,0.06032531668938882,0.03426527706771189,0.4169306400218072,0.10204411823625247,16814.000000000036,0,1114,88712.0,121
0.0,0.65,0.35,0.0,0.9918205280921188,0.06032531668938882,0.03594813323676437,0.4180785055254131,0.10218331692817656,16652.66666666672,0,1102,87998.0,122
0.25,0.6,0.15,0.0,0.9861425451657739,0.06032531668938882,0.03638979422290389,0.4196580949350612,0.10218987501866598,16557.333333333387,0,1086,87048.0,123
0.05,0.9,0.05,0.0,0.9924161207067698,0.06032531668938882,0.0339159246478073,0.42417948447983767,0.10221353187766445,16662.666666666708,0,1094,88634.0,124
0.05,0.75,0.2,0.0,0.9849513599364705,0.06032531668938882,0.036957846938195885,0.42035226548765825,0.10237014862704813,16537.333333333383,0,1093,87754.0,125
0.0,0.95,0.05,0.0,0.9943220170736551,0.06032531668938882,0.034425751959781856,0.4233398621417003,0.10237781265578735,16694.66666666671,0,1112,89914.0,126
0.2,0.75,0.05,0.0,0.9968632122295014,0.06032531668938882,0.0332896465291979,0.4257204935057477,0.1024021039208092,16737.333333333372,0,1094,88956.0,127
0.4,0.35,0.25,0.0,1.0023426642842954,0.06032531668938882,0.035507892382413093,0.41639248896136716,0.10240874982507542,16829.333333333365,0,1098,87325.0,128
0.15,0.75,0.1,0.0,0.983243994441136,0.06032531668938882,0.037943418399227456,0.41878485328138315,0.10242371056996336,16508.666666666715,0,1075,85987.0,129
0.75,0.2,0.05,0.0,0.964343855469526,0.06032531668938882,0.03962911483185641,0.4231795709431376,0.10242388431734699,16191.333333333383,0,1077,87051.0,130
0.2,0.65,0.15,0.0,0.9733968632122297,0.06032531668938882,0.038018685384003645,0.42375806365364327,0.10245125514117691,16343.33333333338,0,1077,87170.0,131
0.5,0.4,0.1,0.0,0.9623982529283306,0.06032531668938882,0.03957088942853898,0.4247498518456844,0.10246616465954667,16158.666666666713,0,1069,86725.0,132
0.15,0.7,0.15,0.0,0.9971411554496733,0.06032531668938882,0.03579475900363553,0.4187480330729837,0.10247028878087269,16742.00000000006,0,1098,87819.0,133
0.45,0.45,0.1,0.0,0.9874925550923169,0.06032531668938882,0.03531191419563735,0.42510791848923685,0.10247899386223074,16580.000000000044,0,1094,88828.0,134
0.15,0.8,0.05,0.0,0.9889616835417908,0.06032531668938882,0.03551357290956601,0.42376848702564296,0.10247900475252364,16604.66666666671,0,1096,88710.0,135
0.2,0.7,0.1,0.0,0.984117530275958,0.06032531668938882,0.03672494532492616,0.4226461646057757,0.10248797657185332,16523.33333333338,0,1078,87022.0,136
0.55,0.35,0.1,0.0,0.9830057573952751,0.06032531668938882,0.03632020776528063,0.4245636998254799,0.10250272018189593,16504.66666666671,0,1080,87579.0,137
0.05,0.55,0.4,0.0,1.0148104030176688,0.06032531668938882,0.03312633137355147,0.4182514114679733,0.10250356070974621,17038.666666666704,0,1123,89712.0,138
0.25,0.55,0.2,0.0,0.9909469922572958,0.06032531668938882,0.037371105288570794,0.41809132844421665,0.1025678140438577,16638.00000000004,0,1093,87282.0,139
0.15,0.6,0.25,0.0,1.011951558467341,0.06032531668938882,0.03527783103271982,0.41452558597372213,0.1026334858305552,16990.6666666667,0,1101,87171.0,140
0.45,0.4,0.15,0.0,1.0025809013301565,0.06032531668938882,0.03428089851738241,0.42238027409916845,0.1026513420316394,16833.333333333372,0,1088,87774.0,141
0.25,0.65,0.1,0.0,0.984117530275958,0.06032531668938882,0.038728751278118624,0.4184599857343187,0.10267050047066537,16523.33333333338,0,1079,86240.0,142
0.8,0.1,0.1,0.0,0.9507643438554699,0.06032531668938882,0.043134000085207916,0.42201134380453753,0.10267955159878962,15963.333333333381,0,1056,85118.0,143
0.2,0.6,0.2,0.0,1.0027000198530869,0.06032531668938882,0.03482196872869802,0.4212991834781221,0.10271150995907596,16835.333333333372,0,1083,87147.0,144
0.05,0.85,0.1,0.0,0.9882866785785194,0.06032531668938882,0.0368925208759373,0.4226563136187926,0.10274772155358641,16593.333333333383,0,1093,88235.0,145
0.65,0.25,0.1,0.0,0.9687909469922575,0.06032531668938882,0.04195955109634176,0.41732767783332675,0.1027601804618481,16266.000000000047,0,1064,84811.0,146
0.4,0.5,0.1,0.0,0.9978558665872543,0.06032531668938882,0.035228126420131775,0.4230519356441319,0.10276642481981545,16754.000000000044,0,1096,88560.0,147
0.7,0.2,0.1,0.0,0.9656938653960688,0.06032531668938882,0.04050533614519429,0.42445668974518763,0.1028819630878805,16214.000000000038,0,1067,86503.0,148
0.35,0.45,0.2,0.0,0.9847528290649201,0.06032531668938882,0.03885798327084756,0.42157850956598325,0.10305288739109861,16534.00000000005,0,1070,86158.0,149
0.25,0.7,0.05,0.0,0.9897955132023033,0.06032531668938882,0.03500800599295614,0.4310024145927467,0.10309241891727669,16618.666666666715,0,1095,90142.0,150
0.85,0.1,0.05,0.0,0.963112964065913,0.06032531668938882,0.04256736750170418,0.4234220206699235,0.10326806052079926,16170.66666666672,0,1076,87020.0,151
0.35,0.6,0.05,0.0,0.9753027595791152,0.06032531668938882,0.038921889201317894,0.42901769205317347,0.10334347394466849,16375.333333333387,0,1076,88170.0,152
0.55,0.4,0.05,0.0,0.9886043279729997,0.06032531668938882,0.03698482944217223,0.4287349769834693,0.1033991629296486,16598.666666666708,0,1093,89504.0,153
0.75,0.15,0.1,0.0,0.9821322215604524,0.06032531668938882,0.040684272750511265,0.42179197726697676,0.10349109062987369,16490.00000000004,0,1076,86685.0,154
0.3,0.65,0.05,0.0,1.0050029779630731,0.06032531668938882,0.03575641544535334,0.42690442611232393,0.10366751614299205,16874.000000000044,0,1084,88388.0,155
0.7,0.25,0.05,0.0,0.9947190788167561,0.06032531668938882,0.03748187556805272,0.42732531536434876,0.1037130481476885,16701.33333333338,0,1087,88720.0,156
0.4,0.55,0.05,0.0,0.9801072066706376,0.06032531668938882,0.039374911241763254,0.4290714462803891,0.10372497833409977,16456.000000000047,0,1077,88263.0,157
0.65,0.3,0.05,0.0,0.9994441135596588,0.06032531668938882,0.03668660176664395,0.4281929679530875,0.10379748300328487,16780.666666666715,0,1083,88573.0,158
0.5,0.45,0.05,0.0,1.0015485407980942,0.06032531668938882,0.03640115527720972,0.4280512992939142,0.10380290355245905,16816.000000000044,0,1090,89116.0,159
0.6,0.35,0.05,0.0,1.007901528687711,0.06032531668938882,0.035282091428084514,0.43098959579620394,0.10407866344243132,16922.66666666671,0,1094,90057.0,160
0.45,0.5,0.05,0.0,0.998610283899146,0.06032531668938882,0.03704731524085436,0.43070752677842356,0.10411546144505596,16766.666666666704,0,1090,89669.0,161
0.9,0.05,0.05,0.0,0.9550526106809611,0.06032531668938882,0.04681782194387638,0.4251734881394047,0.10431532593115145,16035.33333333338,0,1057,85837.0,162
0.8,0.15,0.05,0.0,0.999682350605519,0.06032531668938882,0.039065322511929124,0.42968194805006454,0.10467190908886115,16784.666666666708,0,1083,88881.0,163
0.9,0.0,0.1,0.0,0.9609291244788574,0.06032531668938882,0.05383895350488528,0.41190864196307836,0.1053890064717163,16134.000000000056,0,1057,83159.0,164
0.95,0.0,0.05,0.0,0.9719674409370664,0.06032531668938882,0.053900019171779154,0.42027424582398404,0.10679580238078548,16319.333333333389,0,1050,84286.0,165
0.35,0.1,0.55,0.022703281976832072,1.031645820925153,0.06032531668938882,0.021714152323335612,0.3908328729160637,0.10966662912212234,17321.33333333336,1,1194,89131.0,166
0.85,0.15,0.0,0.0,1.0095294818344254,0.06032531668938882,0.03952402507952738,0.5073203236554021,0.1130657139811197,16950.000000000047,0,1100,106588.0,167
0.8,0.2,0.0,0.0,1.018463371054199,0.06032531668938882,0.03973136432060897,0.5065122871992631,0.11349380656881897,17100.000000000047,0,1097,106128.0,168
