alpha_1,alpha_2,alpha_3,tardiness_index,initial_fragmentation_index,final_fragmentation_index,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.45,0.55,0,4.3599208,0.052799697,0.047136373,0.939233693,2.724016762,21669.33333,34,1759,168553,182
0.35,0.45,0.2,4.402496952,0.052799697,0.026996093,0.752678218,2.724864821,20857.33333,31,1980,152041,183
0.1,0.4,0.5,4.413656913,0.052799697,0.023150902,0.740119965,2.729151415,20696,34,2010,151769,184
0.15,0.55,0.3,4.417171117,0.052799697,0.025275986,0.750759102,2.732961376,21102.66667,34,1995,152802,185
0.3,0.35,0.35,4.428442809,0.052799697,0.02639489,0.746221891,2.739606342,21056,33,1999,152183,186
0.3,0.45,0.25,4.430427408,0.052799697,0.027597295,0.754040474,2.741939681,20553.33333,33,1982,152470,187
0.65,0.35,0,4.390492915,0.052799697,0.0474996,0.947098576,2.743255486,20854,32,1755,169578,188
0.05,0.55,0.4,4.451110479,0.052799697,0.016558551,0.739921006,2.749625953,20726.66667,33,2035,153615,189
0.05,0.85,0.1,4.447215911,0.052799697,0.030386206,0.74878654,2.752324063,20883.33333,37,1975,150873,190
0.4,0.6,0,4.41884324,0.052799697,0.048107761,0.942348628,2.759973135,20848.66667,34,1759,169112,191
0.1,0.45,0.45,4.467629726,0.052799697,0.026778992,0.741304518,2.762741985,20538.66667,33,2002,151407,192
0.5,0.5,0,4.429167738,0.052799697,0.047136373,0.93410404,2.765051959,21456,34,1761,167823,193
0.15,0.85,0,4.429305217,0.052799697,0.047436975,0.941256541,2.765939877,20899.33333,34,1757,168724,194
0.2,0.4,0.4,4.474172849,0.052799697,0.029470486,0.745613861,2.767906242,20464.66667,32,1980,150614,195
0.1,0.6,0.3,4.488817501,0.052799697,0.022933802,0.74782799,2.77495344,20592,34,2015,153731,196
0.2,0.8,0,4.45251738,0.052799697,0.047136373,0.941985966,2.779849937,21278.66667,35,1760,169143,197
0.05,0.75,0.2,4.496632907,0.052799697,0.023990081,0.750242236,2.780200992,20583.33333,36,2003,153309,198
0.2,0.55,0.25,4.495473045,0.052799697,0.026996093,0.749987729,2.780381428,20718.66667,37,1997,152798,199
0.05,0.5,0.45,4.509403198,0.052799697,0.023171778,0.740655024,2.786658955,20745.33333,34,2016,152332,200
0.6,0.4,0,4.466800533,0.052799697,0.046898397,0.943388682,2.788488707,21096,33,1765,169876,201
0.15,0.4,0.45,4.516610501,0.052799697,0.02923251,0.74011004,2.792747057,20472,35,2006,151465,202
0.1,0.55,0.35,4.529725522,0.052799697,0.02128467,0.749436081,2.799164322,20618.66667,35,2025,154826,203
0.15,0.75,0.1,4.527850941,0.052799697,0.028198498,0.755571553,2.800727269,20708,33,1988,153242,204
0.05,0.8,0.15,4.542121608,0.052799697,0.026094289,0.745700919,2.807671344,20454,35,2003,152381,205
0.15,0.65,0.2,4.546880599,0.052799697,0.023388878,0.749771707,2.810122194,21099.33333,35,2018,154360,206
0.35,0.65,0,4.502310479,0.052799697,0.047136373,0.946329918,2.810160191,21236,33,1760,169923,207
0.3,0.7,0,4.509461988,0.052799697,0.047136373,0.943018355,2.81411994,21040,35,1758,169136,208
0.15,0.6,0.25,4.557907131,0.052799697,0.023990081,0.749140607,2.816855363,20722,36,1996,152549,209
0.05,0.9,0.05,4.576199507,0.052799697,0.026996093,0.751942738,2.829012806,20787.33333,34,1998,153273,210
0.25,0.4,0.35,4.592764924,0.052799697,0.022850301,0.745562073,2.837070252,20587.33333,34,2032,154558,211
0.55,0.45,0,4.571858755,0.052799697,0.046535171,0.944968362,2.851572641,21420,35,1769,170546,212
0.25,0.75,0,4.596178479,0.052799697,0.047136373,0.942621672,2.866110166,21811.33333,35,1759,169161,213
0.15,0.5,0.35,4.690801799,0.052799697,0.025493087,0.747224145,2.89685142,21050.66667,35,2011,153302,214
0.2,0.5,0.3,4.724816596,0.052799697,0.024591283,0.750379245,2.917305267,20546.66667,34,2016,154332,215
0,0.4,0.6,4.735653476,0.052799697,0.021585271,0.733885758,2.921256243,21018,36,2063,154458,216
0.05,0.4,0.55,4.75253776,0.052799697,0.027128302,0.737119934,2.93337314,20562,34,2011,151229,217
0.05,0.45,0.5,4.765321078,0.052799697,0.022556658,0.742969358,2.94025658,20628,34,2039,154551,218
0,0.8,0.2,5.025829871,0.052799697,0.022186474,0.748180841,3.096971949,20760,37,2061,157314,219
0,0.5,0.5,5.115431532,0.052799697,0.026009397,0.740502624,3.151112001,20702.66667,38,2043,154340,220
0,0.55,0.45,5.139238701,0.052799697,0.023451504,0.739072414,3.164485913,20781.33333,38,2064,155625,221
0,0.75,0.25,5.161258387,0.052799697,0.019012069,0.750906372,3.17754929,20575.33333,36,2071,158653,222
0,0.7,0.3,5.164353578,0.052799697,0.020382866,0.747226549,3.179449662,21101.33333,38,2064,157342,223
0,0.6,0.4,5.17649523,0.052799697,0.022487075,0.742131369,3.186856397,20710.66667,37,2071,156799,224
0,0.9,0.1,5.188565675,0.052799697,0.022402183,0.743458179,3.194205878,21037.33333,38,2067,156776,225
0,0.85,0.15,5.227507772,0.052799697,0.020683468,0.745682821,3.217277986,20970,37,2065,157093,226
0,0.95,0.05,5.285386469,0.052799697,0.01887986,0.749222171,3.251818057,20883.33333,38,2073,158450,227
0,0.65,0.35,5.506516672,0.052799697,0.020515075,0.748355325,3.384900058,20864.66667,38,2080,158801,228
0,0.45,0.55,5.522497857,0.052799697,0.019180462,0.742423536,3.393495206,21152,37,2103,159284,229
0,1,0,8.535886692,0.052799697,0.045332766,0.939617797,5.229093625,23455.33333,41,1985,190282,230
