alpha_1,alpha_2,alpha_3,w_s1,w_s2,gamma1,gamma2,margin_sec,lambda,p,epsilon,beta,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.95,0.05,0.0,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.2915634191597573,1.0654754814373613,0.060289316018805196,0.03716347394220845,38.36,0.5083552613731926,0.27561822292971644,17889.333333333343,1,1158,112437.0,53
0.8,0.15,0.05,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.3215465864045451,1.0698431606114736,0.060289316018805196,0.009699593653250774,83.91,0.4307164137007069,0.27632430001911945,17962.666666666686,1,1188,97733.0,54
0.3,0.25,0.45,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.33408844526595116,1.0601945602541174,0.060289316018805196,0.003504776545120971,94.19,0.40380387787323563,0.2781901936598389,17800.66666666668,2,1217,93863.0,55
0.35,0.3,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.3498740927082647,1.0485209450069486,0.060289316018805196,0.0033542777491113404,94.44,0.40538211277012903,0.28640129284163934,17604.66666666671,5,1215,94075.0,56
0.65,0.3,0.05,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.34516450786515374,1.0656343061346027,0.060289316018805196,0.004290236928104576,92.88,0.43274147634388443,0.2876834133453845,17892.000000000025,2,1201,99267.0,57
0.75,0.2,0.05,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.37792895029958445,1.0637284097677175,0.060289316018805196,0.00804554021901158,86.66,0.4300974586888575,0.3064707510877466,17860.000000000025,2,1191,97839.0,58
0.4,0.2,0.4,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.39079005305633424,1.06853285685924,0.060289316018805196,0.0059199238906088745,90.18,0.39912254393707,0.31004940358483546,17940.666666666686,3,1222,93156.0,59
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.4071920112140329,1.0653563629144318,0.060289316018805196,0.005379561546840959,91.08,0.40083038477105665,0.3189203312545977,17887.333333333358,3,1203,92100.0,60
0.65,0.0,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.4042297775001896,1.0569783601349994,0.060289316018805196,0.016606771729159496,72.45,0.392164008373724,0.3193737279879746,17746.666666666686,2,1293,96850.0,61
0.35,0.1,0.55,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.41406995530170637,1.0727020051618017,0.060289316018805196,0.007211346892558191,88.04,0.392513006294302,0.32278828037122625,18010.666666666697,2,1266,94912.0,62
